Species,Island,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Gentoo,Biscoe,No,735,49.0,16.1,216.0,5550.0,MALE,8.10417,-25.50562
Adelie,Dream,Yes,379,37.3,17.8,191.0,3350.0,FEMALE,8.32718,-26.38396
Adelie,Dream,Yes,749,41.1,19.0,182.0,3425.0,MALE,,
Chinstrap,Dream,Yes,382,45.5,17.0,196.0,3500.0,FEMALE,9.36493,-24.66259
Adelie,Torgersen,Yes,390,37.2,19.4,184.0,3900.0,MALE,8.3554,-26.44787
Gentoo,Biscoe,Yes,735,50.2,14.3,218.0,5700.0,MALE,7.8962,-25.37746
Gentoo,Biscoe,Yes,387,45.2,16.4,223.0,5950.0,MALE,8.19749,-26.65931
Adelie,Dream,Yes,753,40.9,18.9,184.0,3900.0,MALE,8.79665,-25.14591
Adelie,Biscoe,Yes,387,41.4,18.6,191.0,3700.0,MALE,8.35396,-26.27853
Chinstrap,Dream,Yes,4,50.1,17.9,190.0,3400.0,FEMALE,9.46819,-24.45721
Adelie,Torgersen,Yes,13,35.2,15.9,186.0,3050.0,FEMALE,8.81668,-25.95399
Chinstrap,Dream,Yes,729,48.5,17.5,191.0,3400.0,MALE,9.42666,-24.26375
Chinstrap,Dream,No,734,50.6,19.4,193.0,3800.0,MALE,9.28153,-24.97134
Gentoo,Biscoe,Yes,383,48.4,16.3,220.0,5400.0,MALE,8.03659,-26.86127
Chinstrap,Dream,Yes,740,50.5,19.6,201.0,4050.0,MALE,9.8059,-24.7294
Adelie,Biscoe,Yes,16,42.2,19.5,197.0,4275.0,MALE,8.80186,-26.41218
Gentoo,Biscoe,Yes,0,46.8,16.1,215.0,5500.0,MALE,8.32359,-26.05756
Adelie,Dream,Yes,746,39.6,18.8,190.0,4600.0,MALE,9.49106,-24.10255
Gentoo,Biscoe,Yes,9,55.9,17.0,228.0,5600.0,MALE,8.3118,-26.35425
Chinstrap,Dream,Yes,729,42.4,17.3,181.0,3600.0,FEMALE,9.35138,-24.6879
Adelie,Torgersen,Yes,385,45.8,18.9,197.0,4150.0,MALE,8.18658,-26.45978
Adelie,Torgersen,Yes,390,40.9,16.8,191.0,3700.0,FEMALE,8.47257,-26.02002
Adelie,Torgersen,Yes,750,38.7,19.0,195.0,3450.0,FEMALE,9.18528,-25.06691
Adelie,Biscoe,Yes,390,35.5,16.2,195.0,3350.0,FEMALE,8.56192,-25.95541
Gentoo,Biscoe,Yes,735,46.8,15.4,215.0,5150.0,MALE,8.1631,-25.38017
Adelie,Torgersen,No,747,39.2,19.6,195.0,4675.0,MALE,9.4606,-24.89958
Adelie,Dream,Yes,17,40.2,17.1,193.0,3400.0,FEMALE,9.2881,-25.54976
Gentoo,Biscoe,Yes,13,49.1,15.0,228.0,5500.0,MALE,8.65914,-25.79203
Gentoo,Biscoe,Yes,9,50.8,17.3,228.0,5600.0,MALE,8.27428,-26.30019
Gentoo,Biscoe,Yes,13,52.5,15.6,221.0,5450.0,MALE,8.28601,-26.27573
Adelie,Torgersen,Yes,387,36.2,16.1,187.0,3550.0,FEMALE,7.82381,-26.51382
Adelie,Dream,Yes,18,36.6,18.4,184.0,3475.0,FEMALE,8.68744,-25.8306
Adelie,Dream,Yes,379,36.2,17.3,187.0,3300.0,FEMALE,8.90723,-26.30037
Gentoo,Biscoe,Yes,387,44.0,13.6,208.0,4350.0,FEMALE,8.01979,-26.68311
Adelie,Biscoe,Yes,383,35.7,16.9,185.0,3150.0,FEMALE,8.96472,-26.40943
Gentoo,Biscoe,Yes,4,43.5,15.2,213.0,4650.0,FEMALE,8.21634,-26.11046
Gentoo,Biscoe,Yes,735,48.7,15.1,222.0,5350.0,MALE,7.96491,-25.39587
Adelie,Dream,Yes,21,36.8,18.5,193.0,3500.0,FEMALE,8.98705,-25.57647
Chinstrap,Dream,Yes,10,48.1,16.4,199.0,3325.0,FEMALE,9.46929,-24.48403
Chinstrap,Dream,No,743,46.5,17.9,192.0,3500.0,FEMALE,9.03935,-24.30229
Adelie,Torgersen,Yes,750,42.5,20.7,197.0,4500.0,MALE,8.67538,-25.13993
Adelie,Biscoe,Yes,752,38.8,17.2,180.0,3800.0,MALE,9.63954,-25.29856
Gentoo,Biscoe,Yes,735,46.2,14.5,209.0,4800.0,FEMALE,7.84057,-25.37899
Adelie,Dream,Yes,15,39.0,18.7,185.0,3650.0,MALE,9.22033,-26.03442
Chinstrap,Dream,Yes,10,49.3,19.9,203.0,4050.0,MALE,9.88809,-24.59513
Gentoo,Biscoe,Yes,383,49.1,14.8,220.0,5150.0,FEMALE,7.89744,-26.63405
Gentoo,Biscoe,Yes,387,49.5,16.2,229.0,5800.0,MALE,8.49854,-26.74809
Adelie,Dream,No,15,39.7,17.9,193.0,4250.0,MALE,9.25769,-25.88798
Gentoo,Biscoe,Yes,392,45.1,14.4,210.0,4400.0,FEMALE,8.51951,-27.01854
Chinstrap,Dream,No,371,49.5,19.0,200.0,3800.0,MALE,9.63074,-24.34684
Adelie,Dream,Yes,15,40.7,17.0,190.0,3725.0,MALE,9.05674,-25.79529
Adelie,Torgersen,Yes,746,46.0,21.5,194.0,4200.0,MALE,9.11616,-24.77227
Gentoo,Biscoe,Yes,394,42.6,13.7,213.0,4950.0,FEMALE,7.96935,-26.70968
Adelie,Torgersen,Yes,387,42.1,19.1,195.0,4000.0,MALE,9.05736,-25.81513
Adelie,Biscoe,Yes,11,38.1,17.0,181.0,3175.0,FEMALE,9.79532,-25.27385
Adelie,Torgersen,Yes,746,34.4,18.4,184.0,3325.0,FEMALE,8.47827,-25.23319
Adelie,Torgersen,Yes,13,38.6,17.0,188.0,2900.0,FEMALE,9.18021,-25.77264
Gentoo,Biscoe,No,387,45.5,13.9,210.0,4200.0,FEMALE,8.47829,-26.61788
Adelie,Dream,Yes,753,37.2,18.1,178.0,3900.0,MALE,9.72764,-25.0102
Gentoo,Biscoe,Yes,733,46.1,15.1,215.0,5100.0,MALE,7.83733,-25.42826
Gentoo,Biscoe,Yes,393,45.5,15.0,220.0,5000.0,MALE,8.63604,-26.7489
Chinstrap,Dream,Yes,736,52.0,18.1,201.0,4050.0,MALE,9.0233,-24.38933
Gentoo,Biscoe,Yes,733,47.3,15.3,222.0,5250.0,MALE,,
Adelie,Torgersen,Yes,10,38.8,17.6,191.0,3275.0,FEMALE,8.88098,-25.89741
Gentoo,Biscoe,Yes,383,45.7,13.9,214.0,4400.0,FEMALE,8.6287,-26.60484
Adelie,Biscoe,Yes,381,37.6,19.1,194.0,3750.0,MALE,9.108,-25.89677
Adelie,Biscoe,Yes,19,45.6,20.3,191.0,4600.0,MALE,8.65466,-26.32909
Chinstrap,Dream,Yes,14,50.8,18.5,201.0,4450.0,MALE,9.45827,-24.35575
Adelie,Torgersen,Yes,746,36.6,17.8,185.0,3700.0,FEMALE,,
Adelie,Torgersen,No,747,38.9,17.8,181.0,3625.0,FEMALE,9.18718,-25.21799
Gentoo,Biscoe,Yes,733,42.9,13.1,215.0,5000.0,FEMALE,7.68528,-25.39181
Gentoo,Biscoe,Yes,735,48.7,14.1,210.0,4450.0,FEMALE,8.14705,-25.46172
Adelie,Dream,Yes,391,39.6,18.1,186.0,4450.0,MALE,8.49915,-26.42406
Adelie,Dream,Yes,753,39.5,16.7,178.0,3250.0,FEMALE,9.69756,-25.11223
Adelie,Biscoe,Yes,750,35.9,19.2,189.0,3800.0,FEMALE,9.22286,-25.03474
Gentoo,Biscoe,Yes,387,48.2,15.6,221.0,5100.0,MALE,8.24651,-26.66958
Gentoo,Biscoe,Yes,16,47.4,14.6,212.0,4725.0,FEMALE,8.19101,-26.24369
Adelie,Biscoe,Yes,381,39.0,17.5,186.0,3550.0,FEMALE,8.57199,-26.07188
Gentoo,Biscoe,Yes,392,48.5,14.1,220.0,5300.0,MALE,8.39867,-26.79358
Adelie,Torgersen,Yes,753,37.8,17.1,186.0,3300.0,,8.63243,-25.21315
Gentoo,Biscoe,Yes,733,45.5,13.7,214.0,4650.0,FEMALE,7.77672,-25.4168
Gentoo,Biscoe,Yes,735,46.5,14.5,213.0,4400.0,FEMALE,7.90436,-25.3947
Adelie,Torgersen,Yes,394,42.9,17.6,196.0,4700.0,MALE,8.63259,-26.23027
Chinstrap,Dream,No,734,46.7,17.9,195.0,3300.0,FEMALE,9.74144,-24.59467
Gentoo,Biscoe,No,0,,,,,,,
Gentoo,Biscoe,Yes,9,44.9,13.8,212.0,4750.0,FEMALE,8.11238,-26.20372
Gentoo,Biscoe,Yes,383,54.3,15.7,231.0,5650.0,MALE,8.49662,-26.84166
Gentoo,Biscoe,Yes,735,50.0,15.2,218.0,5700.0,MALE,8.2554,-25.40075
Chinstrap,Dream,Yes,382,52.8,20.0,205.0,4550.0,MALE,9.25177,-24.69638
Adelie,Dream,Yes,391,34.0,17.1,185.0,3400.0,FEMALE,8.01485,-26.69543
Adelie,Torgersen,No,385,41.8,19.4,198.0,4450.0,MALE,8.86853,-26.06209
Gentoo,Biscoe,Yes,735,50.0,16.3,230.0,5700.0,MALE,8.14756,-25.39369
Adelie,Dream,Yes,388,38.1,18.6,190.0,3700.0,FEMALE,8.10277,-26.50086
Gentoo,Biscoe,Yes,392,45.3,13.7,210.0,4300.0,FEMALE,8.37615,-26.72791
Adelie,Dream,Yes,388,40.3,18.5,196.0,4350.0,MALE,8.39459,-26.01152
Chinstrap,Dream,Yes,372,40.9,16.6,187.0,3200.0,FEMALE,9.08458,-24.54903
Adelie,Torgersen,No,385,35.9,16.6,190.0,3050.0,FEMALE,8.47781,-26.07821
Adelie,Biscoe,Yes,750,38.2,18.1,185.0,3950.0,MALE,8.43423,-25.22664
Adelie,Dream,Yes,746,42.2,18.5,180.0,3550.0,FEMALE,8.04787,-25.49523
Adelie,Dream,Yes,15,37.3,16.8,192.0,3000.0,FEMALE,9.06829,-25.85203
Adelie,Torgersen,Yes,15,40.2,17.0,176.0,3450.0,FEMALE,9.30722,-25.61039
Adelie,Biscoe,Yes,390,41.1,19.1,188.0,4100.0,MALE,8.71078,-25.81012
Gentoo,Biscoe,Yes,392,46.5,14.4,217.0,4900.0,FEMALE,8.48789,-26.83006
Chinstrap,Dream,Yes,736,45.4,18.7,188.0,3525.0,FEMALE,8.64701,-24.62717
Adelie,Torgersen,Yes,13,40.6,19.0,199.0,4000.0,MALE,9.22537,-25.60826
Adelie,Dream,Yes,18,39.2,18.6,190.0,4250.0,MALE,9.11006,-25.79549
Gentoo,Biscoe,Yes,729,45.8,14.6,210.0,4200.0,FEMALE,7.79958,-25.62618
Adelie,Dream,Yes,388,36.3,19.5,190.0,3800.0,MALE,8.57087,-26.22227
Gentoo,Biscoe,Yes,393,47.7,15.0,216.0,4750.0,FEMALE,8.53018,-26.72751
Chinstrap,Dream,Yes,734,51.7,20.3,194.0,3775.0,MALE,8.68747,-24.38751
Gentoo,Biscoe,Yes,393,46.4,15.6,221.0,5000.0,MALE,8.35078,-26.70783
Chinstrap,Dream,Yes,10,45.6,19.4,194.0,3525.0,FEMALE,9.46985,-24.65786
Gentoo,Biscoe,No,392,49.6,16.0,225.0,5700.0,MALE,8.38324,-26.84272
Gentoo,Biscoe,Yes,9,48.5,15.0,219.0,4850.0,FEMALE,8.10231,-26.18763
Gentoo,Biscoe,Yes,392,45.0,15.4,220.0,5050.0,MALE,8.63488,-26.75621
Chinstrap,Dream,No,732,50.3,20.0,197.0,3300.0,MALE,10.02019,-24.54704
Gentoo,Biscoe,Yes,733,48.4,14.6,213.0,5850.0,MALE,7.8208,-25.48025
Adelie,Torgersen,Yes,13,44.1,18.0,210.0,4000.0,MALE,9.10702,-26.01363
Adelie,Dream,No,749,37.6,19.3,181.0,3300.0,FEMALE,9.41131,-25.04169
Gentoo,Biscoe,Yes,729,59.6,17.0,230.0,6050.0,MALE,7.76843,-25.6821
Gentoo,Biscoe,Yes,16,50.0,15.9,224.0,5350.0,MALE,8.20042,-26.39677
Chinstrap,Dream,No,734,52.0,19.0,197.0,4150.0,MALE,9.36799,-24.47142
Adelie,Biscoe,Yes,16,39.7,17.7,193.0,3200.0,FEMALE,9.02657,-26.06203
Gentoo,Biscoe,Yes,733,50.0,15.3,220.0,5550.0,MALE,8.30515,-25.19017
Gentoo,Biscoe,Yes,0,47.3,13.8,216.0,4725.0,,8.25818,-26.23886
Adelie,Torgersen,Yes,13,37.3,20.5,199.0,3775.0,MALE,9.49645,-26.36678
Gentoo,Biscoe,Yes,13,46.9,14.6,222.0,4875.0,FEMALE,7.8881,-26.04726
Gentoo,Biscoe,Yes,11,49.8,15.9,229.0,5950.0,MALE,8.29226,-26.21019
Gentoo,Biscoe,Yes,6,52.1,17.0,230.0,5550.0,MALE,8.27595,-26.11657
Gentoo,Biscoe,Yes,6,52.2,17.1,228.0,5400.0,MALE,8.36701,-25.89834
Chinstrap,Dream,Yes,736,47.0,17.3,185.0,3700.0,FEMALE,8.72037,-24.80526
Chinstrap,Dream,Yes,4,49.0,19.6,212.0,4300.0,MALE,9.34089,-24.45189
Gentoo,Biscoe,Yes,735,49.2,15.2,221.0,6300.0,MALE,8.27376,-25.00169
Chinstrap,Dream,Yes,736,51.3,19.2,193.0,3650.0,MALE,9.29078,-24.7557
Gentoo,Biscoe,Yes,735,43.3,13.4,209.0,4400.0,FEMALE,8.13643,-25.32176
Adelie,Torgersen,Yes,746,40.3,18.0,195.0,3250.0,FEMALE,8.36821,-25.33302
Adelie,Biscoe,Yes,14,42.7,18.3,196.0,4075.0,MALE,8.91434,-26.42018
Chinstrap,Dream,Yes,372,51.0,18.8,203.0,4100.0,MALE,9.23196,-24.17282
Gentoo,Biscoe,Yes,735,46.7,15.3,219.0,5200.0,MALE,8.22673,-25.4276
Adelie,Torgersen,No,14,36.2,17.2,187.0,3150.0,FEMALE,9.04296,-26.19444
Gentoo,Biscoe,Yes,393,43.6,13.9,217.0,4900.0,FEMALE,8.27141,-26.7765
Gentoo,Biscoe,Yes,390,51.1,16.3,220.0,6000.0,MALE,8.40327,-26.76821
Adelie,Torgersen,Yes,10,41.5,18.3,195.0,4300.0,MALE,8.52566,-26.0245
Adelie,Torgersen,Yes,388,35.5,17.5,190.0,3700.0,FEMALE,8.70642,-26.15003
Gentoo,Biscoe,Yes,390,43.2,14.5,208.0,4450.0,FEMALE,8.48367,-26.86485
Adelie,Biscoe,No,752,40.5,18.9,180.0,3950.0,MALE,8.90027,-25.11609
Adelie,Torgersen,Yes,389,35.1,19.4,193.0,4200.0,MALE,8.90002,-26.46254
Gentoo,Biscoe,Yes,392,49.8,16.8,230.0,5700.0,MALE,8.47067,-26.69166
Adelie,Biscoe,Yes,16,38.2,20.0,190.0,3900.0,MALE,9.59245,-25.70711
Chinstrap,Dream,Yes,14,50.9,17.9,196.0,3675.0,FEMALE,9.43684,-24.16566
Chinstrap,Dream,Yes,10,51.4,19.0,201.0,3950.0,MALE,9.43782,-24.36202
Adelie,Dream,Yes,21,37.5,18.5,199.0,4475.0,MALE,8.56708,-26.49288
Chinstrap,Dream,Yes,372,42.5,16.7,187.0,3350.0,FEMALE,9.36668,-24.45195
Gentoo,Biscoe,Yes,733,47.8,15.0,215.0,5650.0,MALE,7.92358,-25.48383
Adelie,Dream,Yes,746,37.0,16.9,185.0,3000.0,FEMALE,9.36392,-25.01745
Gentoo,Biscoe,Yes,13,49.4,15.8,216.0,4925.0,MALE,8.03624,-26.06594
Adelie,Biscoe,Yes,383,41.6,18.0,192.0,3950.0,MALE,8.85562,-26.09294
Gentoo,Biscoe,Yes,21,53.4,15.8,219.0,5500.0,MALE,8.41017,-26.33867
Adelie,Dream,Yes,379,41.3,20.3,194.0,3550.0,MALE,9.14863,-26.09635
Chinstrap,Dream,Yes,371,49.7,18.6,195.0,3600.0,MALE,9.75486,-24.31198
Adelie,Torgersen,Yes,382,33.5,19.0,190.0,3600.0,FEMALE,7.88863,-26.63085
Chinstrap,Dream,Yes,734,51.3,18.2,197.0,3750.0,MALE,8.63701,-24.84059
Adelie,Torgersen,Yes,747,41.1,17.6,182.0,3200.0,FEMALE,,
Adelie,Dream,Yes,746,39.2,21.1,196.0,4150.0,MALE,9.15308,-25.03469
Adelie,Biscoe,No,752,37.9,18.6,172.0,3150.0,FEMALE,8.38404,-25.19837
Chinstrap,Dream,Yes,732,46.4,18.6,190.0,3450.0,FEMALE,9.32105,-24.64162
Adelie,Dream,Yes,15,32.1,15.5,188.0,3050.0,FEMALE,8.79787,-26.61075
Gentoo,Biscoe,Yes,733,48.2,14.3,210.0,4600.0,FEMALE,7.6887,-25.50811
Adelie,Torgersen,No,8,43.1,19.2,197.0,3500.0,MALE,8.86495,-26.1396
Gentoo,Biscoe,Yes,383,43.5,14.2,220.0,4700.0,FEMALE,8.64931,-26.68867
Adelie,Biscoe,Yes,390,40.1,18.9,188.0,4300.0,MALE,8.51362,-26.55602
Adelie,Dream,Yes,379,40.8,18.9,208.0,4300.0,MALE,8.48204,-26.57941
Gentoo,Biscoe,Yes,390,47.5,14.2,209.0,4600.0,FEMALE,8.39299,-26.78733
Chinstrap,Dream,No,371,50.5,18.4,200.0,3400.0,FEMALE,8.9399,-23.89017
Chinstrap,Dream,Yes,8,45.7,17.3,193.0,3600.0,FEMALE,9.415,-24.805
Adelie,Torgersen,Yes,15,41.4,18.5,202.0,3875.0,MALE,9.59462,-25.42621
Adelie,Dream,Yes,746,40.8,18.4,195.0,3900.0,MALE,,
Adelie,Dream,Yes,388,38.9,18.8,190.0,3600.0,FEMALE,8.36936,-26.11199
Gentoo,Biscoe,Yes,394,44.9,13.3,213.0,5100.0,FEMALE,8.45167,-26.89644
Chinstrap,Dream,Yes,4,42.5,17.3,187.0,3350.0,FEMALE,9.56534,-24.60882
Adelie,Dream,Yes,15,35.6,17.5,191.0,3175.0,FEMALE,8.75984,-25.97696
Adelie,Biscoe,Yes,750,40.6,18.6,183.0,3550.0,MALE,8.93997,-25.36288
Gentoo,Biscoe,Yes,0,48.8,16.2,222.0,6000.0,MALE,8.33825,-25.88547
Adelie,Dream,Yes,17,40.6,17.2,187.0,3475.0,MALE,9.23408,-26.01549
Gentoo,Biscoe,Yes,387,46.2,14.4,214.0,4650.0,,8.24253,-26.8154
Adelie,Torgersen,Yes,746,36.7,19.3,193.0,3450.0,FEMALE,8.76651,-25.32426
Adelie,Torgersen,Yes,751,39.1,18.7,181.0,3750.0,MALE,,
Gentoo,Biscoe,Yes,22,43.3,14.0,208.0,4575.0,FEMALE,8.4207,-26.38092
Gentoo,Biscoe,Yes,390,46.4,15.0,216.0,4700.0,FEMALE,8.47938,-26.9547
Gentoo,Biscoe,Yes,0,45.5,14.5,212.0,4750.0,FEMALE,8.15566,-26.22848
Adelie,Biscoe,Yes,22,35.0,17.9,192.0,3725.0,FEMALE,8.84451,-26.28055
Gentoo,Biscoe,Yes,735,45.4,14.6,211.0,4800.0,FEMALE,8.24515,-25.46782
Chinstrap,Dream,Yes,372,49.0,19.5,210.0,3950.0,MALE,9.53262,-24.66867
Gentoo,Biscoe,Yes,390,48.6,16.0,230.0,5800.0,MALE,8.5964,-26.71199
Chinstrap,Dream,Yes,10,50.8,19.0,210.0,4100.0,MALE,9.98044,-24.68741
Chinstrap,Dream,Yes,4,46.8,16.5,189.0,3650.0,FEMALE,9.65061,-24.48153
Adelie,Biscoe,Yes,16,37.8,20.0,190.0,4250.0,MALE,9.51929,-25.69199
Chinstrap,Dream,Yes,732,49.2,18.2,195.0,4400.0,MALE,9.27158,-24.64335
Adelie,Dream,Yes,386,33.1,16.1,178.0,2900.0,FEMALE,9.04218,-26.15775
Adelie,Dream,Yes,746,38.8,20.0,190.0,3950.0,MALE,9.18985,-25.12255
Chinstrap,Dream,Yes,12,55.8,19.8,207.0,4000.0,MALE,9.70465,-24.53494
Adelie,Biscoe,Yes,383,41.3,21.1,195.0,4400.0,MALE,8.74802,-26.37809
Adelie,Dream,Yes,14,36.0,17.1,187.0,3700.0,FEMALE,8.93465,-26.07081
Gentoo,Biscoe,Yes,733,44.5,14.3,216.0,4100.0,,7.96621,-25.69327
Adelie,Dream,Yes,749,37.5,18.9,179.0,2975.0,,,
Adelie,Dream,Yes,753,39.5,17.8,188.0,3300.0,FEMALE,9.66523,-25.0602
Gentoo,Biscoe,Yes,392,45.8,14.2,219.0,4700.0,FEMALE,8.60447,-26.61601
Adelie,Torgersen,Yes,753,37.8,17.3,180.0,3700.0,,,
Gentoo,Biscoe,Yes,9,46.8,14.3,215.0,4850.0,FEMALE,8.41151,-26.13832
Chinstrap,Dream,Yes,8,51.5,18.7,187.0,3250.0,MALE,9.6895,-24.43062
Gentoo,Biscoe,Yes,11,51.3,14.2,218.0,5300.0,MALE,8.15426,-26.3433
Adelie,Biscoe,Yes,750,40.5,17.9,187.0,3200.0,FEMALE,8.08138,-25.49448
Gentoo,Biscoe,Yes,393,46.2,14.9,221.0,5300.0,MALE,8.60092,-26.84374
Gentoo,Biscoe,No,735,40.9,13.7,214.0,4650.0,FEMALE,8.19579,-25.3933
Chinstrap,Dream,Yes,734,46.6,17.8,193.0,3800.0,FEMALE,8.95063,-24.59897
Gentoo,Biscoe,Yes,21,41.7,14.7,210.0,4700.0,FEMALE,8.12311,-26.44815
Adelie,Dream,No,15,37.0,16.5,185.0,3400.0,FEMALE,8.61651,-26.07021
Adelie,Biscoe,Yes,383,37.6,17.0,185.0,3600.0,FEMALE,8.58063,-26.21569
Adelie,Dream,Yes,18,41.1,17.5,190.0,3900.0,MALE,8.94365,-26.06943
Adelie,Torgersen,Yes,13,39.0,17.1,191.0,3050.0,FEMALE,9.19031,-25.73722
Adelie,Torgersen,Yes,753,34.1,18.1,193.0,3475.0,,,
Adelie,Biscoe,Yes,383,36.4,17.1,184.0,2850.0,FEMALE,8.62623,-26.1165
Adelie,Torgersen,Yes,746,34.6,21.1,198.0,4400.0,MALE,8.55583,-25.22588
Chinstrap,Dream,Yes,741,52.7,19.8,197.0,3725.0,MALE,9.00642,-24.61867
Adelie,Dream,Yes,746,36.5,18.0,182.0,3150.0,FEMALE,9.68933,-24.4228
Gentoo,Biscoe,Yes,4,50.8,15.7,226.0,5200.0,MALE,8.27102,-26.11244
Gentoo,Biscoe,Yes,390,50.4,15.3,224.0,5550.0,MALE,8.74647,-26.79846
Chinstrap,Dream,No,10,43.5,18.1,202.0,3400.0,FEMALE,9.37608,-24.40753
Gentoo,Biscoe,Yes,387,45.2,13.8,215.0,4750.0,FEMALE,8.24694,-26.65359
Gentoo,Biscoe,Yes,735,42.0,13.5,210.0,4150.0,FEMALE,7.63884,-25.52627
Chinstrap,Dream,Yes,4,52.2,18.8,197.0,3450.0,MALE,9.77528,-24.56481
Chinstrap,Dream,Yes,4,51.9,19.5,206.0,3950.0,MALE,,-23.78767
Gentoo,Biscoe,Yes,13,47.2,15.5,215.0,4975.0,FEMALE,8.30817,-26.21651
Gentoo,Biscoe,Yes,733,42.8,14.2,209.0,4700.0,FEMALE,7.63452,-25.46327
Gentoo,Biscoe,Yes,6,55.1,16.0,230.0,5850.0,MALE,8.08354,-26.18161
