Account ID,Username,Platform,Follower Count,Posts Per Week,Engagement Rate,Ad Spend (USD),Conversion Rate,Campaign Reach
58,julianfisher,Facebook,224019,7,0.0642,519.52,0.0115,15713
59,kstewart,TikTok,589034,5,0.102,516.15,0.0143,17645
60,jaimeedwards,Instagram,521857,6,0.102,902.41,0.0328,46702
61,ashleycooper,Instagram,647277,1,0.0834,396.53,0.0192,3354
62,tristanpearson,Twitter,625432,3,0.0856,514.6,0.0397,5100
63,oprice,Twitter,417945,7,0.0986,383.32,0.0358,26750
64,mhart,LinkedIn,81376,5,0.0856,649.02,0.0113,2427
65,smurray,Facebook,163109,5,0.0986,841.85,0.0112,48337
66,riverakevin,Instagram,193830,1,0.0986,488.49,0.0395,25114
67,julianfisher,Instagram,174959,1,0.0642,139.63,0.0328,35257
68,lisa32,Facebook,20239,5,0.0642,630.77,0.0154,17113
69,timothynavarro,Twitter,973806,4,0.0834,973.57,0.012,16840
70,lori07,TikTok,906762,6,0.0642,233.99,0.0189,48861
71,cooperpaul,Instagram,54991,1,0.0642,379.97,0.0297,5513
72,toneill,Facebook,644118,7,0.0642,382.74,0.0307,9407
73,allen72,LinkedIn,595994,6,0.102,933.92,0.0381,42791
74,kathymacias,Instagram,107881,2,0.0856,888.13,0.0286,40195
75,james60,Instagram,493602,2,0.0856,276.36,0.0283,6020
76,nolancorey,Facebook,210960,4,0.0642,81.51,0.0293,28986
77,carlosrivera,Facebook,13228,7,0.0986,728.88,0.046,42386
78,diana02,Instagram,410903,6,0.0856,457.25,0.0385,21955
79,ashley37,Instagram,677499,5,0.0642,651.28,0.0464,35055
80,kevin80,Twitter,685323,3,0.0986,913.44,0.0275,7410
81,jilliannielsen,Instagram,753260,2,0.0856,277.98,0.0334,6331
82,shermanjoshua,Facebook,199035,6,0.0986,703.39,0.045,45607
83,vdavila,Instagram,915675,5,0.0986,882.09,0.0342,46207
84,leemorales,Instagram,337226,7,0.0834,966.01,0.0493,26025
85,jonathanjones,Twitter,122372,7,0.0642,894.32,0.0201,25945
86,anthonyanderson,LinkedIn,577623,4,0.0986,190.5,0.0139,5919
87,holmesjohn,LinkedIn,6876,1,0.0856,522.77,0.026,2242
88,bobbystrickland,LinkedIn,944581,3,0.0856,283.03,0.0315,16888
89,jeffrey25,LinkedIn,567055,1,0.0642,117.05,0.0365,23557
90,cynthia04,Facebook,469429,1,0.0834,903.99,0.0106,44375
91,thomassherri,LinkedIn,760780,4,0.0834,540.02,0.0215,43906
92,eryan,Instagram,531919,6,0.0986,177.32,0.0361,21099
93,shanejohnson,Twitter,551867,4,0.0856,307.41,0.0145,3830
94,benjamingutierrez,Instagram,859655,3,0.0642,222.59,0.0208,14641
95,marquezedward,Twitter,487293,1,0.102,852.45,0.031,32055
96,tjohnson,Twitter,697093,3,0.102,880.42,0.0119,10233
97,john57,Twitter,400038,7,0.0834,973.44,0.0318,7021
98,nicolegalloway,TikTok,346519,4,0.0834,596.41,0.04,49519
99,jjones,Twitter,171759,3,0.0834,946.08,0.0354,30491
100,smithedward,Twitter,623759,6,0.102,952.28,0.0409,26759
101,michellemcdaniel,TikTok,372070,3,0.102,62.71,0.0147,31131
102,erodriguez,Twitter,575006,5,0.0834,992.22,0.0373,36574
103,robinsonlindsey,Facebook,95233,5,0.0986,262.66,0.0102,8039
104,ubecker,Instagram,650881,6,0.0856,222.59,0.0128,17980
105,trobinson,Facebook,750736,1,0.0986,735.9,0.0354,46860
106,trobinson,Twitter,567322,2,0.0834,169.32,0.0415,2468
107,smithkristin,Twitter,650362,6,0.0834,253.21,0.0432,26080
108,ugrant,Twitter,215690,6,0.0986,338.05,0.0349,41263
109,michaelflores,Twitter,58821,6,0.0856,973.57,0.0416,2851
110,joandyer,TikTok,929931,2,0.102,993.19,0.0172,31368
111,elizabethelliott,LinkedIn,329853,4,0.0834,694.28,0.0188,22695
112,emily58,TikTok,178412,4,0.0642,715.11,0.035,37391
113,sthompson,Facebook,88284,2,0.0986,596.52,0.0298,2173
114,charleswilliams,Instagram,237336,3,0.0642,602.6,0.0105,19913
115,dmiller,TikTok,83982,7,0.0856,283.03,0.023,1515
116,fduffy,Facebook,758261,7,0.0856,189.36,0.0186,25804
117,sharris,TikTok,730810,4,0.0834,370.17,0.0159,7351
118,monroedavid,Twitter,897241,1,0.0986,310.36,0.0471,11638
119,adunn,Instagram,354687,6,0.0834,926.97,0.0307,6325
120,stevensondesiree,TikTok,163651,7,0.0986,252.29,0.0453,5736
121,reidkristine,TikTok,632857,6,0.102,780.56,0.0248,5060
122,kathleenmason,LinkedIn,959601,7,0.0986,958.39,0.0439,5226
123,gmeyer,Facebook,410430,5,0.0642,323.15,0.0171,46212
124,owensnatalie,TikTok,945242,6,0.0834,398.1,0.0282,17878
125,fmolina,Instagram,371274,7,0.0986,841.85,0.0137,43349
126,bberry,Twitter,197710,4,0.0856,485.02,0.0108,34466
127,chavezcourtney,Instagram,277076,7,0.0642,432.08,0.0456,21374
128,angelarose,Twitter,368934,1,0.0834,261.62,0.0483,39561
129,nblake,Facebook,775511,3,0.0986,473.57,0.0432,26720
130,gsharp,Facebook,33312,3,0.102,485.02,0.0186,18243
131,julianfisher,Instagram,772672,3,0.102,514.07,0.0479,28632
132,robinsonmark,Twitter,552070,6,0.0986,966.47,0.0354,23441
133,trobinson,Facebook,221476,5,0.0986,947.76,0.0281,4356
134,hevans,Twitter,903942,5,0.0856,727.33,0.0193,40336
135,mckenzieadam,Instagram,933563,5,0.0834,630.21,0.0421,39088
136,aflores,Instagram,557762,3,0.0986,214.12,0.0178,17615
137,michaellopez,TikTok,204527,6,0.0856,452.19,0.0272,19725
138,bpham,Instagram,975273,6,0.102,649.02,0.0182,35495
139,jenniferwaller,TikTok,630147,5,0.102,797.64,0.0103,46343
140,hellis,LinkedIn,518385,6,0.0834,858.44,0.0401,48129
141,yrodriguez,TikTok,267011,5,0.0642,914.72,0.0245,24771
142,mitchellpatrick,LinkedIn,446069,1,0.0642,510.99,0.0255,26275
143,ybrock,Facebook,448733,5,0.0834,97.1,0.0466,12173
144,erikthomas,Twitter,407324,3,0.0986,103.1,0.0444,42521
145,browndarryl,Twitter,951388,6,0.0642,696.43,0.0139,47990
146,ulandry,TikTok,494885,3,0.102,913.44,0.0205,49576
147,qcannon,LinkedIn,342158,5,0.0986,147.17,0.0251,2796
148,victoria86,Facebook,40250,5,0.102,327.81,0.0216,10315
149,claudiaferrell,Twitter,593696,3,0.0834,217.73,0.0493,25760
150,davistammy,TikTok,250584,3,0.102,133.64,0.0318,14548
151,tyler31,TikTok,426663,6,0.0856,274.72,0.0398,41345
152,smithedward,Instagram,379585,4,0.0986,236.48,0.0371,27535
153,nicole57,Instagram,729414,3,0.0986,877.89,0.0238,3796
154,gregory84,Facebook,17821,4,0.0986,789.28,0.0372,29734
155,ireyes,LinkedIn,416425,4,0.102,869.07,0.0145,34247
156,krystal64,Twitter,502866,7,0.0986,719.56,0.0105,34880
157,colemanbrooke,Twitter,298600,7,0.0856,317.82,0.0427,2119
158,fwalker,Facebook,388576,6,0.0642,283.03,0.0392,10800
159,samanthajohnson,LinkedIn,516975,3,0.0642,432.65,0.0243,42117
160,caitlin54,Facebook,194157,5,0.0856,376.93,0.0186,4123
161,nolancorey,Facebook,470687,4,0.0834,536.5,0.0128,2486
162,john77,LinkedIn,81219,5,0.0986,262.66,0.0108,18591
163,rebekah51,LinkedIn,65092,7,0.102,876.46,0.0208,31598
164,thomassherri,Facebook,543409,3,0.0834,539.69,0.0166,6402
165,gutierreznicholas,TikTok,437115,7,0.0834,969.55,0.0262,32118
166,tinajones,Instagram,73272,3,0.0856,452.91,0.0318,10241
167,ycole,Twitter,199621,7,0.0856,496.72,0.0262,26063
168,cooklinda,Twitter,770764,5,0.0642,840.87,0.0113,1920
169,carlosrivera,LinkedIn,502948,6,0.0856,405.98,0.0247,35690
170,graymelinda,Twitter,475258,7,0.0834,894.32,0.0443,38430
171,deandawn,Twitter,557341,4,0.0642,683.21,0.0175,45928
172,hernandezvanessa,Twitter,544313,5,0.102,847.14,0.0499,42029
173,xshort,Facebook,913122,3,0.0856,893.56,0.0429,31810
174,palmerjeffrey,TikTok,971217,5,0.0856,899.04,0.0287,42862
175,snicholson,Instagram,604800,5,0.0834,356.29,0.0283,22920
176,ashleyzuniga,Instagram,596094,6,0.0642,975.52,0.0288,3997
177,lisabarber,Instagram,572735,5,0.0856,677.17,0.0478,49947
178,danielharper,Instagram,624611,7,0.102,99.67,0.0186,33974
179,davisjose,Twitter,250150,3,0.0834,685.4,0.0226,43774
180,brittney04,LinkedIn,303677,1,0.102,103.1,0.0397,8240
181,fshaw,TikTok,345342,6,0.0834,298.05,0.0105,30988
182,hardyalexander,TikTok,213900,6,0.0834,748.78,0.0314,22660
183,adam63,LinkedIn,731406,3,0.0642,647.76,0.0286,33065
184,jay23,Instagram,5171,6,0.0834,548.59,0.0108,2979
185,flowerschristine,TikTok,107068,2,0.102,537.38,0.0489,6762
186,muellerolivia,TikTok,647379,6,0.0986,836.59,0.0409,10538
187,xroberts,Facebook,351443,6,0.0986,285.16,0.0181,37625
188,henrydominique,Facebook,45224,1,0.0856,539.69,0.0186,11396
189,bradleyfox,Instagram,372268,1,0.0856,224.07,0.0119,40384
190,grayrachel,Instagram,262058,1,0.0834,395.39,0.0354,25985
191,ujones,LinkedIn,785527,2,0.102,441.13,0.0389,23393
192,bclark,TikTok,606644,2,0.0986,129.24,0.0238,8356
193,robertsanders,Twitter,71024,4,0.102,695.81,0.0218,41954
194,bprice,TikTok,940065,5,0.0834,742.16,0.048,31982
195,meghan87,TikTok,150329,1,0.0642,307.41,0.0167,14106
196,nponce,TikTok,402485,3,0.0856,802.17,0.0477,19892
197,montgomeryjaime,Twitter,764232,2,0.0856,594.15,0.0363,45078
198,michael40,Twitter,754964,5,0.0642,985.34,0.0241,33615
199,medinanatalie,Facebook,543023,6,0.0986,710.67,0.0385,10045
200,daltonmichael,Instagram,693011,1,0.0986,195.91,0.023,43750
201,jennifer98,Facebook,145171,7,0.0856,521.96,0.0263,4284
202,plindsey,Instagram,815150,2,0.0834,693.78,0.046,14963
203,uclark,Instagram,734348,5,0.0986,335.78,0.0499,1088
204,anthonywilliams,Facebook,335067,6,0.0642,506.57,0.0105,40981
205,kristinemalone,Facebook,801977,1,0.0834,511.43,0.048,38011
206,kevin80,Instagram,88318,7,0.0986,376.93,0.0263,33009
207,smithedward,TikTok,598481,4,0.0856,713.9,0.0416,2292
208,michelle11,Facebook,794085,1,0.0834,602.44,0.0166,7682
209,ybrock,Twitter,604322,3,0.0834,117.05,0.0278,28073
210,sophia02,Instagram,528324,3,0.0642,991.96,0.024,13915
211,ggonzalez,TikTok,889267,2,0.0834,139.63,0.0494,7764
212,michaellopez,TikTok,41077,5,0.102,797.64,0.0188,16563
213,lisa91,TikTok,430258,6,0.0856,808.23,0.0429,1796
214,michellemcdaniel,TikTok,272060,5,0.0642,610.44,0.0114,2452
215,sbyrd,Twitter,10395,3,0.0834,926.97,0.0421,2146
216,lisa14,Instagram,854968,6,0.0642,340.68,0.0161,31251
217,belinda51,Facebook,653937,1,0.0856,804.4,0.0143,28682
218,davisjose,Instagram,436372,7,0.102,973.57,0.0487,32455
219,hawkinskelly,Facebook,304576,5,0.0834,951.65,0.0393,25744
220,ulandry,TikTok,742078,5,0.0642,690.0,0.0375,6064
221,elaine15,LinkedIn,576425,1,0.102,754.41,0.0237,35128
222,zjones,TikTok,546013,6,0.0986,915.43,0.0164,26529
223,morgan06,Instagram,574401,3,0.102,206.84,0.0328,1132
224,patrick36,LinkedIn,781153,6,0.0642,508.6,0.0455,24014
225,robert31,Facebook,484944,6,0.0834,822.81,0.0439,15148
226,nelsonalfred,LinkedIn,893363,3,0.0834,440.37,0.0272,9399
227,johnwilkinson,TikTok,419529,6,0.0834,669.64,0.0334,28327
228,smithtimothy,Twitter,529600,1,0.0834,969.09,0.0464,35100
229,michael16,Facebook,12415,5,0.0986,510.8,0.0293,26491
230,mariahbell,TikTok,4479,5,0.0986,405.74,0.0337,3132
231,tylermartin,Facebook,589223,5,0.0986,321.64,0.02,11524
232,rachelgutierrez,Facebook,829170,2,0.102,614.04,0.0318,24964
233,novakjennifer,Twitter,517649,6,0.102,515.08,0.0344,45631
234,dixonjulie,Twitter,579652,3,0.0834,826.95,0.0192,17730
235,martinerica,TikTok,954296,6,0.102,555.7,0.0474,11269
236,vmorales,LinkedIn,602486,2,0.0642,500.37,0.0329,5842
237,joshuabailey,Instagram,633296,4,0.102,225.29,0.0118,37236
238,colestevens,LinkedIn,101171,3,0.0642,867.62,0.044,1343
239,lewisjessica,Instagram,854960,5,0.102,129.24,0.032,7634
240,vbrady,TikTok,487245,4,0.0856,279.32,0.0186,6922
241,mcdonaldnancy,Instagram,929908,1,0.0986,233.02,0.0454,46752
242,thammond,Facebook,294197,1,0.102,817.67,0.0314,16620
243,jeffreysalazar,Facebook,766465,7,0.0642,787.03,0.0195,21446
244,boothjacob,Facebook,798236,5,0.0986,775.38,0.0186,5520
245,matthew17,Facebook,585264,4,0.0642,456.74,0.0136,24312
246,thomasortega,Twitter,808429,1,0.0856,98.2,0.0436,33137
247,hardyalexander,Instagram,991515,1,0.0856,370.12,0.0456,3609
248,michaelperez,Instagram,632264,1,0.102,386.33,0.0202,35359
249,turnerchristopher,LinkedIn,394352,5,0.102,938.02,0.0357,37401
250,revans,Instagram,845512,6,0.102,143.89,0.0186,19225
251,dgarza,Facebook,234445,4,0.0642,563.74,0.0452,37263
252,christianamy,LinkedIn,922723,6,0.0834,443.29,0.0423,43521
253,fowlermichael,Twitter,767918,4,0.0856,298.95,0.0119,21790
254,keithkeith,Twitter,241032,2,0.0986,335.78,0.0261,23711
255,jonathanherman,LinkedIn,124285,5,0.102,682.47,0.0221,28107
256,fduffy,LinkedIn,361244,4,0.0834,361.46,0.0264,5927
257,hellis,TikTok,234063,4,0.0642,81.51,0.0497,2772
258,lesliepennington,Twitter,446644,6,0.0986,435.65,0.0115,22658
259,julie05,Facebook,626811,2,0.0642,99.67,0.0364,26699
260,kaitlynvalentine,Instagram,853558,5,0.0834,841.85,0.0225,12896
261,alyssa15,TikTok,300547,1,0.0642,153.65,0.0123,20475
262,ellenmitchell,Facebook,627045,6,0.0642,122.95,0.0223,48059
263,simmonscarrie,Facebook,215970,1,0.0834,51.95,0.0128,9033
264,eriknelson,Instagram,796838,3,0.102,596.52,0.0365,48992
265,francessullivan,Instagram,108153,7,0.102,892.6,0.0245,44313
266,davidsmith,TikTok,723665,5,0.0856,228.19,0.0418,45663
267,danielanderson,TikTok,983458,5,0.0642,584.37,0.0284,29396
268,yrodriguez,Twitter,991970,4,0.0986,584.95,0.0143,32529
269,ireyes,Facebook,986829,1,0.0642,858.82,0.0439,37566
270,adamjohnson,Facebook,902245,7,0.0642,413.32,0.0274,12529
271,hamiltonjessica,Facebook,575689,5,0.0986,53.54,0.0193,40692
272,herbertallen,Twitter,749785,7,0.102,903.94,0.0117,17276
273,jbonilla,TikTok,320413,4,0.0834,400.61,0.0245,39316
274,stephen63,TikTok,950724,7,0.0856,556.13,0.0223,42990
275,ryan99,Twitter,81086,3,0.0834,367.56,0.024,18581
276,sharondillon,Twitter,99943,1,0.0986,375.55,0.011,4181
277,ntodd,LinkedIn,908448,3,0.0834,907.05,0.0342,36260
278,amberhanson,Instagram,538566,3,0.0986,385.8,0.0471,30895
279,jason52,LinkedIn,98929,2,0.0986,992.22,0.0161,7837
280,wmaxwell,Twitter,326440,3,0.0642,286.58,0.0275,13011
281,nponce,Facebook,927638,5,0.0642,397.29,0.0364,29210
282,kristinemalone,LinkedIn,826398,1,0.102,214.78,0.0397,28754
283,aramos,Twitter,253351,1,0.0986,682.58,0.0227,39871
284,gtorres,Twitter,264193,2,0.0834,694.28,0.0276,31196
285,robertmorris,TikTok,702687,1,0.0856,276.36,0.05,2250
286,jade86,LinkedIn,786413,1,0.0986,643.4,0.0384,38738
287,vanessa81,Instagram,891869,3,0.0856,852.45,0.0381,10116
288,thomasortega,Facebook,762047,2,0.0856,924.61,0.0496,1889
289,claudiaferrell,Instagram,300664,2,0.0856,160.86,0.0379,14442
290,ntodd,Twitter,143737,1,0.0834,264.48,0.0306,1532
291,pbrooks,TikTok,167473,1,0.0834,982.66,0.0267,27859
292,johnsongregory,Twitter,239471,5,0.0642,182.75,0.0167,22882
293,ronnieperry,Twitter,526238,1,0.0986,969.88,0.0448,11029
294,jbonilla,Facebook,552286,5,0.0642,262.66,0.0114,33363
295,jefferygarcia,Instagram,517478,6,0.0986,429.01,0.0326,44139
296,gmcintosh,Twitter,667504,4,0.0986,539.69,0.0163,5542
297,mcurtis,TikTok,21353,2,0.102,452.19,0.0175,6764
298,roger15,Instagram,544284,7,0.0834,986.41,0.0451,48280
299,tonyaevans,TikTok,968739,4,0.0834,105.12,0.0175,18437
300,sparker,Facebook,147468,4,0.0834,611.1,0.0163,11168
301,courtneysanchez,Facebook,256472,1,0.102,602.23,0.0112,41123
302,karen03,TikTok,705478,1,0.102,640.55,0.0459,25935
303,mfreeman,Twitter,335351,5,0.0834,612.83,0.0116,1325
304,simmonscarrie,Twitter,479132,4,0.0986,928.25,0.0101,6847
305,martinjoseph,LinkedIn,479578,2,0.0986,600.01,0.04,33066
306,tmcdaniel,Instagram,573087,5,0.102,287.9,0.0497,5342
307,smack,Twitter,898342,3,0.0834,110.12,0.0279,27850
308,blackwellandrew,Twitter,768690,7,0.0856,667.05,0.0341,19054
309,valdezjessica,Facebook,791365,2,0.0642,572.3,0.0466,40351
310,james82,TikTok,113083,7,0.0642,926.61,0.0109,24693
311,marcoporter,Twitter,27952,4,0.102,238.51,0.0205,46128
312,sierrajohnson,LinkedIn,506427,6,0.0986,980.69,0.0192,15748
313,hawkinskelly,TikTok,173248,4,0.0986,82.92,0.0265,20731
314,jeremiah03,TikTok,32778,3,0.0986,840.87,0.0464,35820
315,chavezcourtney,LinkedIn,358254,1,0.0834,286.17,0.0413,45280
316,alyssa15,Facebook,874277,2,0.102,421.56,0.0261,13450
317,laurendurham,Twitter,40397,7,0.102,275.71,0.0329,11665
318,john77,Instagram,127420,1,0.0642,182.75,0.0249,30411
319,wwatson,Twitter,4866,3,0.0856,800.44,0.0192,36776
320,andersonjuan,Facebook,504872,5,0.0986,755.58,0.0392,38483
321,lopezsusan,Twitter,289406,4,0.0856,337.84,0.0222,13639
322,vvega,Facebook,216240,7,0.0856,845.29,0.0344,7655
323,mccoykaren,Twitter,638159,2,0.0834,955.42,0.0393,47699
324,fduffy,LinkedIn,981789,1,0.0642,827.71,0.011,49544
325,hughesmatthew,Facebook,65882,4,0.0986,308.89,0.0261,40859
326,qthomas,TikTok,884469,3,0.0986,375.89,0.016,28928
327,ihernandez,TikTok,61731,3,0.0834,238.74,0.0343,18044
328,joshua92,Facebook,886561,5,0.0986,612.01,0.0226,3032
329,patriciamorse,TikTok,998321,1,0.102,741.79,0.0192,7658
330,jasonrichard,LinkedIn,439692,5,0.0834,276.88,0.0283,7636
331,paulprice,Twitter,642672,3,0.0834,742.39,0.0448,31131
332,smithdanielle,Instagram,376201,5,0.0986,352.46,0.0194,5906
333,olopez,Facebook,896570,6,0.0986,363.0,0.0293,20728
334,wsmith,Facebook,541831,1,0.102,253.21,0.0283,30504
335,simoncarolyn,Twitter,327158,4,0.0834,582.66,0.0459,5414
336,asimon,TikTok,703087,6,0.0856,500.37,0.0412,14263
337,gacosta,Facebook,858568,4,0.0986,656.5,0.0488,28504
338,hughesmatthew,Twitter,953127,2,0.0834,714.36,0.0478,12213
339,cynthia50,LinkedIn,170925,6,0.0986,834.49,0.0466,7919
340,gonzalezjulie,Instagram,236558,5,0.0834,148.83,0.0284,34474
341,paul43,Instagram,895618,3,0.0834,262.66,0.0304,7762
342,jamiejones,Instagram,90736,5,0.0856,915.05,0.0468,7326
343,bethgrimes,LinkedIn,119213,7,0.102,259.06,0.019,1451
344,benjamin31,LinkedIn,205289,6,0.0856,389.68,0.0375,37895
345,johnnyphillips,Twitter,507653,3,0.0986,973.57,0.0193,30574
346,gclark,Twitter,912082,3,0.0642,376.93,0.0476,19781
347,jeffrey25,Facebook,975124,4,0.102,90.45,0.0115,44115
348,wolfejoshua,Facebook,410721,6,0.0856,148.05,0.0112,3636
349,bbarber,Instagram,24336,7,0.0642,966.47,0.048,5761
350,clementsdevin,TikTok,498641,6,0.0642,784.57,0.0196,41950
351,matthew40,Instagram,803901,1,0.0986,694.28,0.042,14625
352,ruth02,TikTok,463613,4,0.0986,962.84,0.0328,27195
353,mariapatel,Facebook,373978,1,0.0856,482.45,0.0456,33522
354,morgan06,Twitter,678738,2,0.0834,402.13,0.0209,1695
355,luislove,LinkedIn,487736,5,0.0642,878.37,0.0302,16177
356,erica07,TikTok,159533,7,0.0856,539.69,0.0255,46635
357,brian17,TikTok,884407,6,0.0856,609.25,0.0151,47030
358,lpierce,TikTok,847723,6,0.0834,574.29,0.0138,38390
359,tiffanyferrell,LinkedIn,623253,3,0.0642,717.59,0.04,24415
360,colleen63,TikTok,815652,5,0.0986,233.02,0.0258,17652
361,angelsmith,LinkedIn,876091,4,0.0834,664.72,0.039,7674
362,mary05,Twitter,489176,1,0.0986,611.1,0.0273,39017
363,royharper,Twitter,348968,1,0.0986,542.96,0.034,19610
364,karenbarron,Facebook,43260,2,0.0642,973.44,0.0192,10644
365,uluna,Instagram,936254,5,0.102,651.28,0.0269,41956
366,michael55,Twitter,351460,3,0.0834,187.74,0.0424,36317
367,kevingarcia,LinkedIn,910424,2,0.102,252.39,0.0101,34592
368,eric95,Twitter,637327,1,0.0642,640.57,0.0176,37687
369,kennedykayla,LinkedIn,995308,7,0.0834,798.27,0.0246,6916
370,tyler31,Instagram,926008,4,0.0856,268.92,0.0197,21696
371,uflowers,Twitter,608156,1,0.102,423.76,0.0261,6449
372,grahamallison,Instagram,670828,5,0.102,841.85,0.023,13423
373,bhamilton,Twitter,973724,6,0.0986,600.46,0.0458,19234
374,dmanning,LinkedIn,353529,1,0.0986,794.46,0.0293,21505
375,michelle11,Facebook,461904,3,0.0856,162.02,0.0304,25306
376,john57,TikTok,109325,5,0.0856,176.28,0.0416,12838
377,nancy96,LinkedIn,586575,2,0.0856,413.32,0.0139,12130
378,murphydebbie,Twitter,453224,5,0.0856,829.47,0.0262,29381
379,evanssteven,Instagram,846530,1,0.102,77.54,0.0278,24376
380,omorgan,LinkedIn,465436,2,0.0986,987.0,0.0106,25278
381,johnmartinez,Facebook,293105,2,0.0642,825.62,0.0194,35391
382,dgarza,Twitter,913218,3,0.0834,845.29,0.0131,7680
383,wstevens,LinkedIn,776209,4,0.0834,492.15,0.0145,42066
384,cynthia50,Instagram,240198,4,0.0834,611.1,0.0172,44751
385,keith55,TikTok,544995,5,0.0834,553.49,0.0308,13321
386,kwright,Instagram,745308,5,0.0856,917.31,0.0269,5277
387,zacharyhill,TikTok,376840,7,0.0986,951.47,0.0288,7622
388,bhamilton,Twitter,440328,5,0.102,373.18,0.0252,39581
389,jonathanreynolds,LinkedIn,410760,2,0.0834,555.48,0.0156,48712
390,sarah18,Instagram,223021,6,0.0856,217.72,0.0309,49108
391,petersonjerry,LinkedIn,218742,1,0.0856,645.84,0.0213,46342
392,bbarber,Facebook,8498,6,0.0856,469.53,0.0426,47854
393,kristy65,LinkedIn,104748,4,0.0986,122.95,0.044,47744
394,colemanbrooke,LinkedIn,238524,2,0.0986,390.34,0.0349,8860
395,christineclark,Twitter,390300,3,0.0856,277.01,0.0166,2187
396,mike65,Twitter,304446,2,0.0834,75.54,0.0321,21751
397,andrew37,TikTok,638634,1,0.102,468.93,0.0136,14764
