status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
... >= 200 DM / salary for at least 1 year,11,all credits at this bank paid back duly,others,7228,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,>= 7 yrs,car or other,39,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
no checking account,6,all credits at this bank paid back duly,others,3676,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,37,none,for free,4-5,skilled employee/official,3 or more,no,no,good
... < 0 DM,12,all credits at this bank paid back duly,others,3124,unknown/no savings account,< 1 yr,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,49,bank,rent,2-3,unskilled - resident,3 or more,no,no,good
... < 0 DM,36,no credits taken/all credits paid back duly,domestic appliances,2384,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,< 1 yr,real estate,33,none,for free,1,unskilled - resident,0 to 2,no,no,bad
... < 0 DM,12,all credits at this bank paid back duly,radio/television,1424,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
no checking account,6,all credits at this bank paid back duly,others,4716,... >= 1000 DM,< 1 yr,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,44,none,rent,2-3,unskilled - resident,3 or more,no,no,good
... < 0 DM,11,existing credits paid back duly till now,furniture/equipment,4771,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,51,none,rent,1,skilled employee/official,0 to 2,no,no,good
no checking account,12,no credits taken/all credits paid back duly,car (used),652,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,good
... < 0 DM,9,all credits at this bank paid back duly,furniture/equipment,1154,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,unknown / no property,37,none,rent,4-5,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,others,3556,... >= 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,real estate,29,none,rent,1,skilled employee/official,0 to 2,no,no,good
0<= ... < 200 DM,42,all credits at this bank paid back duly,car (new),4796,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,56,none,own,1,skilled employee/official,0 to 2,no,no,good
0<= ... < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3017,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,car or other,47,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,others,3535,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,37,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,others,6614,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,34,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,1376,100 <= ... <  500 DM,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
no checking account,15,no credits taken/all credits paid back duly,others,1721,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
no checking account,6,all credits at this bank paid back duly,others,860,unknown/no savings account,>= 7 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,real estate,39,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,others,1495,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,< 1 yr,unknown / no property,38,none,rent,2-3,unskilled - resident,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,1934,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,real estate,26,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,car (new),3378,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,car or other,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (new),3868,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,41,none,for free,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,domestic appliances,996,... >= 1000 DM,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,23,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
no checking account,24,no credits taken/all credits paid back duly,business,1755,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,guarantor,>= 7 yrs,unknown / no property,58,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,others,1028,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,36,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
... < 0 DM,24,all credits at this bank paid back duly,retraining,2825,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,real estate,34,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
... < 0 DM,18,no credits taken/all credits paid back duly,repairs,1239,... >= 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,61,none,own,1,skilled employee/official,0 to 2,no,no,good
no checking account,18,no credits taken/all credits paid back duly,others,1216,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,23,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,retraining,1258,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,< 1 yr,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,repairs,1864,... <  100 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,others,1474,... <  100 DM,< 1 yr,< 20,female : single,none,4 <= ... < 7 yrs,unknown / no property,33,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
no checking account,24,all credits at this bank paid back duly,retraining,1382,... <  100 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,< 1 yr,unknown / no property,26,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,others,640,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : divorced/separated,none,1 <= ... < 4 yrs,unknown / no property,49,none,rent,1,unskilled - resident,0 to 2,no,no,good
0<= ... < 200 DM,36,no credits taken/all credits paid back duly,furniture/equipment,3919,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,23,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,9,all credits at this bank paid back duly,others,1224,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,< 1 yr,unknown / no property,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,2331,... >= 1000 DM,>= 7 yrs,>= 35,male : married/widowed,co-applicant,>= 7 yrs,unknown / no property,49,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (new),6313,... >= 1000 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,41,none,rent,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,good
no checking account,12,all credits at this bank paid back duly,furniture/equipment,385,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,58,none,rent,>= 6,unskilled - resident,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,1655,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,unknown / no property,63,none,rent,2-3,unskilled - resident,0 to 2,yes (under customer name),no,good
no checking account,15,no credits taken/all credits paid back duly,furniture/equipment,1053,unknown/no savings account,< 1 yr,< 20,female : single,none,1 <= ... < 4 yrs,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,yes,good
... >= 200 DM / salary for at least 1 year,21,no credits taken/all credits paid back duly,furniture/equipment,3160,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,car or other,41,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,others,3079,... >= 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,others,1163,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,44,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (new),2679,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,< 1 yr,real estate,29,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,48,all credits at this bank paid back duly,furniture/equipment,3578,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,< 1 yr,unknown / no property,47,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,others,10875,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,45,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
no checking account,12,existing credits paid back duly till now,others,1344,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,43,none,rent,2-3,unskilled - resident,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,furniture/equipment,1237,... <  100 DM,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,< 1 yr,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,3077,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,52,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,2284,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1567,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,others,2032,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,60,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... < 0 DM,21,all credits at this bank paid back duly,car (used),2745,500 <= ... < 1000 DM,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,32,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,30,no credits taken/all credits paid back duly,furniture/equipment,1867,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,58,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,furniture/equipment,2299,100 <= ... <  500 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,39,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (used),929,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,31,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
0<= ... < 200 DM,12,no credits taken/all credits paid back duly,furniture/equipment,3399,... >= 1000 DM,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,37,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,good
... < 0 DM,9,no credits taken/all credits paid back duly,car (used),2030,... >= 1000 DM,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,21,all credits at this bank paid back duly,car (new),3275,unknown/no savings account,>= 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,36,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,others,1940,500 <= ... < 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,60,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
no checking account,21,all credits at this bank paid back duly,others,1602,unknown/no savings account,>= 7 yrs,< 20,female : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,30,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,furniture/equipment,1979,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,35,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,others,2022,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,37,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,furniture/equipment,3342,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,51,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... < 0 DM,18,no credits taken/all credits paid back duly,others,5866,... <  100 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
0<= ... < 200 DM,15,all credits at this bank paid back duly,car (new),2360,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,car (used),1520,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,car or other,63,none,rent,1,skilled employee/official,0 to 2,no,no,good
no checking account,12,no credits taken/all credits paid back duly,others,3651,500 <= ... < 1000 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,car or other,31,none,rent,1,skilled employee/official,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (new),2346,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,furniture/equipment,4454,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,34,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
no checking account,6,all credits at this bank paid back duly,others,666,500 <= ... < 1000 DM,4 <= ... < 7 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,unknown / no property,39,none,rent,2-3,unskilled - resident,0 to 2,yes (under customer name),no,good
... < 0 DM,24,existing credits paid back duly till now,others,1965,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,42,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... < 0 DM,12,all credits at this bank paid back duly,others,1995,... <  100 DM,< 1 yr,< 20,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,good
... < 0 DM,30,no credits taken/all credits paid back duly,furniture/equipment,2991,... >= 1000 DM,>= 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,25,none,rent,1,skilled employee/official,0 to 2,no,no,good
... < 0 DM,30,delay in paying off in the past,retraining,4221,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,28,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
no checking account,9,no credits taken/all credits paid back duly,furniture/equipment,1364,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,unknown / no property,59,none,rent,1,skilled employee/official,0 to 2,no,no,good
... < 0 DM,18,all credits at this bank paid back duly,car (used),6361,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,real estate,41,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,27,all credits at this bank paid back duly,car (used),4526,500 <= ... < 1000 DM,< 1 yr,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,32,stores,rent,2-3,unskilled - resident,3 or more,yes (under customer name),no,good
... < 0 DM,12,all credits at this bank paid back duly,furniture/equipment,3573,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,< 1 yr,unknown / no property,23,none,rent,1,unskilled - resident,0 to 2,no,no,good
... < 0 DM,36,existing credits paid back duly till now,retraining,4455,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : divorced/separated,none,1 <= ... < 4 yrs,unknown / no property,30,stores,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
no checking account,9,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,good
... < 0 DM,42,all credits at this bank paid back duly,retraining,5954,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,female : non-single or male : single,none,< 1 yr,unknown / no property,41,bank,rent,2-3,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (used),3777,500 <= ... < 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,40,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
no checking account,15,no credits taken/all credits paid back duly,retraining,806,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,22,none,rent,1,unskilled - resident,0 to 2,no,no,good
... < 0 DM,24,existing credits paid back duly till now,retraining,4712,... >= 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,34,bank,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... < 0 DM,36,existing credits paid back duly till now,others,7432,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,54,none,for free,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,furniture/equipment,1851,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : single,guarantor,1 <= ... < 4 yrs,building soc. savings agr./life insurance,33,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,others,1393,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,guarantor,1 <= ... < 4 yrs,unknown / no property,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,retraining,1412,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,guarantor,1 <= ... < 4 yrs,unknown / no property,29,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,furniture/equipment,1473,unknown/no savings account,< 1 yr,20 <= ... < 25,female : single,none,>= 7 yrs,unknown / no property,39,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,1533,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,38,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
